Zip,InstallationsPerZip,Households,Pop,AverageIncome,Centile_HHI,Sola_Penetration,Centile_Solar_Penetration,SolarInstalled,Average HH Size,Centile_HHSize,Electric Utility,OwnerOccupancyPercentage,OwnerDetachedpercentage
10001,9,5892,17678,123112.7764,8,0.001527495,10,1,1.93,10,Consolidated Edison,0.2735,0.019312602
10016,3,16634,49904,144872.3901,8,0.000180353,10,1,1.74,10,Consolidated Edison,0.2932,0.01953125
10031,8,19816,59450,51413.2034,7,0.000403714,10,1,2.79,5,Consolidated Edison,0.1007,0.028422549
10461,16,16027,48081,58036.9104,6,0.000998315,10,1,2.62,7,Consolidated Edison,0.315,0.334092758
10470,2,5259,15778,65711.6553,5,0.0003803,10,1,2.54,7,Consolidated Edison,0.3705,0.355617456
10502,20,1728,5184,164349.7771,7,0.011574074,8,1,2.96,3,Consolidated Edison,0.8338,0.933993399
10505,4,61,185,149436.528,8,0.06557377,1,1,3.7,1,NYS Electric and Gas,0.7783,1
10524,15,1420,4260,114246.672,9,0.01056338,8,1,2.71,6,Central Hudson Gas and Electric,0.8893,0.986415094
10526,1,558,1675,218303,7,0.001792115,10,1,2.64,7,NYS Electric and Gas,0.9277,0.585406302
10530,31,4413,13240,133485.6057,8,0.0070247,9,1,2.15,10,Consolidated Edison,0.8111,0.447453256
10538,22,5440,16321,248073.7891,7,0.004044118,10,1,2.78,5,Consolidated Edison,0.8025,0.77984304
10562,157,10308,30926,106627.901,10,0.015230889,7,1,2.97,3,Consolidated Edison,0.5762,0.664058332
10566,60,7483,22450,71247.2767,5,0.008018175,9,1,2.61,7,Consolidated Edison,0.5025,0.473834027
10590,12,2251,6755,192346.2326,7,0.005330964,9,1,2.85,5,NYS Electric and Gas,0.9129,0.909090909
10591,43,7179,21538,115737.3213,9,0.005989692,9,1,2.56,7,Consolidated Edison,0.5381,0.508359788
10597,1,306,920,226377,7,0.003267974,10,1,3.38,1,NYS Electric and Gas,1,1
10801,41,12118,36356,80357.7318,3,0.003383397,10,1,2.84,5,Consolidated Edison,0.3935,0.600255661
10803,22,3964,11892,218224.9077,7,0.00554995,9,1,3.17,1,Consolidated Edison,0.8046,0.822306238
10914,28,150,452,91315,2,0.186666667,1,1,4.05,1,Orange and Rockland Utilities,1,1
10923,71,2752,8256,95185.1436,1,0.025799419,4,1,3.23,1,Orange and Rockland Utilities,0.6638,0.860623229
10930,72,2417,7253,119779.2976,9,0.029788995,3,1,3.24,1,Orange and Rockland Utilities,0.9204,0.795499408
10931,3,348,1045,109166.2928,9,0.00862069,9,1,2.91,4,Orange and Rockland Utilities,0.7019,0.803652968
10941,73,4255,12765,80138.9258,3,0.017156287,6,1,2.89,4,Orange and Rockland Utilities,0.7303,0.776866764
10952,67,10541,31623,90002.3366,2,0.006356133,9,1,4.45,1,Orange and Rockland Utilities,0.5128,0.848069213
10962,31,1776,5329,134732.693,8,0.017454955,6,1,2.84,5,Orange and Rockland Utilities,0.8256,0.925320057
10963,18,1398,4195,86709,3,0.012875536,7,1,2.85,5,Orange and Rockland Utilities,0.8622,0.971311475
10977,104,16251,48755,81480.9424,3,0.006399606,9,1,4.06,1,Orange and Rockland Utilities,0.5047,0.755891805
10984,26,938,2815,123510,8,0.02771855,3,1,3.35,1,Orange and Rockland Utilities,0.9337,0.944121071
10987,12,1001,3003,124115.447,8,0.011988012,8,1,2.38,9,Orange and Rockland Utilities,0.7982,0.782169118
10992,128,2960,8880,89763.6472,2,0.043243243,1,1,2.82,5,Central Hudson Gas and Electric,0.823,0.80523792
11023,20,2864,8593,141564.9626,8,0.00698324,9,1,3.19,1,PSEG Long Island,0.8229,0.85390625
11030,32,5677,17033,243352.7844,7,0.00563678,9,1,2.92,4,PSEG Long Island,0.8798,0.864536365
11040,195,13261,39784,116894.043,9,0.014704773,7,1,3.14,2,Consolidated Edison,0.8922,0.934392265
11096,17,2658,7976,68940.996,5,0.006395786,9,1,3.16,2,PSEG Long Island,0.4494,0.742627346
11213,4,21977,65932,46614.3775,7,0.000182008,10,1,2.62,7,Consolidated Edison,0.1511,0.053117137
11370,3,9640,28920,49034.4878,7,0.000311203,10,1,3.21,1,Consolidated Edison,0.4562,0.170045616
11375,14,23380,70142,89704.2477,2,0.000598802,10,1,2.18,10,Consolidated Edison,0.5005,0.191726483
11412,10,12144,36433,77263.7438,4,0.000823452,10,1,3.4,1,Consolidated Edison,0.7419,0.66406821
11413,12,13190,39571,84085.1138,3,0.00090978,10,1,3.39,1,Consolidated Edison,0.7445,0.653340635
11429,5,9272,27816,82272.7741,3,0.000539258,10,1,3.63,1,Consolidated Edison,0.6767,0.722570533
11510,128,10850,32552,110669.9613,9,0.011797235,8,1,3.18,1,PSEG Long Island,0.8311,0.934909884
11520,4,14776,44329,86328.4455,3,0.000270709,10,1,3.16,1,PSEG Long Island,0.6618,0.804670208
11550,34,19655,58967,69315.2553,5,0.00172984,10,1,3.32,1,PSEG Long Island,0.4436,0.887143998
11570,8,9101,27303,144505.8626,8,0.000879024,10,1,2.74,5,Municipal Utilities,0.7177,0.823472491
11575,23,5261,15785,79362.6506,4,0.004371792,10,1,3.86,1,PSEG Long Island,0.6799,0.92342033
10011,2,15299,45899,160936.5432,7,0.000130727,10,1,1.7,10,Consolidated Edison,0.3374,0.03021597
10022,0,8820,26460,158965.178,7,0,10,0,1.66,10,Other,0.4787,0.017255742
10026,3,8641,25925,50331.7923,7,0.000347182,10,1,2.58,7,Consolidated Edison,0.1873,0.01659292
10038,0,5145,15435,89760.0452,2,0,10,0,2.05,10,Other,0.2513,0.037390943
10065,0,10500,31500,191673.5228,7,0,10,0,1.81,10,Other,0.3121,0.032965009
10302,58,5526,16580,70774.0271,5,0.010495838,8,1,2.99,3,Consolidated Edison,0.5767,0.609311741
10314,363,28420,85260,90427.5476,2,0.012772695,8,1,2.78,5,Consolidated Edison,0.7331,0.405329223
10453,3,25971,77913,35179.332,7,0.000115513,10,1,2.97,3,Consolidated Edison,0.0372,0.234020619
10454,11,10026,30078,28294.0413,7,0.001097147,10,1,3.03,3,Consolidated Edison,0.0515,0.108864697
10465,42,13760,41282,73646.2435,4,0.003052326,10,1,2.8,5,Consolidated Edison,0.5393,0.429169088
10468,10,25357,76073,38638.4808,7,0.000394368,10,1,2.95,3,Consolidated Edison,0.0836,0.098417409
10516,35,1734,5202,108343.9694,9,0.020184544,5,1,2.41,8,Central Hudson Gas and Electric,0.7057,0.835475578
10520,72,4144,12434,123311.6217,8,0.017374517,6,1,2.44,8,Consolidated Edison,0.6377,0.782438141
10533,33,2515,7547,190827.427,7,0.013121272,7,1,2.75,5,Consolidated Edison,0.7868,0.585606773
10535,1,151,454,130341,8,0.006622517,9,1,2.39,9,NYS Electric and Gas,0.4,1
10549,31,5218,15655,158325.3778,7,0.005940974,9,1,2.77,5,Consolidated Edison,0.6522,0.602339181
10570,44,4187,12561,181360.9418,7,0.010508717,8,1,2.8,5,Consolidated Edison,0.7943,0.803298717
10578,0,254,764,206558.02,7,0,10,0,2.32,9,Other,0.8465,1
10588,4,638,1914,107894.2855,9,0.006269592,9,1,2.51,8,Consolidated Edison,0.7858,0.812738854
