,TotalOccupied,OwnerOccupancyPercentage,TotalOccupiedbyOwner,OccupiedbyOwnerdetached homes,OwnerDetachedpercentage,OccupiedbyOwnerSemiDetached,OccupiedbyOwnerMultiIUnits,OccupiedbyOwnerMobileorBoat,TotalOccupiedbyRenter,OccupiedbyRenter detached homes,OccupiedbyRenterSemiDetached,OccupiedbyRenterMultiIUnits,OccupiedbyRenterMobileorBoat
6390,132,0.8409,111,111,1,0,0,0,21,17,0,4,0
10001,11169,0.2735,3055,59,0.019312602,96,2894,6,8114,0,0,8108,6
10002,32550,0.1343,4370,98,0.022425629,12,4246,14,28180,99,41,28040,0
10003,27564,0.3097,8537,154,0.018039124,72,8306,5,19027,129,82,18816,0
10004,1580,0.2924,462,0,0,0,462,0,1118,11,11,1096,0
10005,4100,0.1327,544,14,0.025735294,0,530,0,3556,0,0,3556,0
10006,1686,0.0718,121,0,0,0,121,0,1565,23,0,1542,0
10007,2646,0.3783,1001,0,0,0,1001,0,1645,0,0,1645,0
10009,29860,0.0788,2353,52,0.022099448,14,2287,0,27507,125,36,27316,30
10010,16019,0.2387,3823,60,0.015694481,0,3763,0,12196,60,34,12102,0
10011,29921,0.3374,10094,305,0.03021597,101,9658,30,19827,56,66,19705,0
10012,12874,0.1679,2162,63,0.029139685,22,2077,0,10712,7,0,10705,0
10013,11501,0.2875,3307,63,0.019050499,65,3179,0,8194,5,12,8177,0
10014,18964,0.2913,5524,175,0.031679942,318,5031,0,13440,37,9,13394,0
10016,27939,0.2932,8192,160,0.01953125,90,7930,12,19747,102,0,19621,24
10017,10117,0.3305,3344,43,0.012858852,54,3247,0,6773,45,0,6728,0
10018,4060,0.0921,374,31,0.082887701,4,339,0,3686,5,25,3656,0
10019,23606,0.1839,4341,151,0.034784612,0,4190,0,19265,56,6,19203,0
10021,23504,0.3989,9376,90,0.009598976,77,9209,0,14128,68,12,14048,0
10022,17552,0.4787,8403,145,0.017255742,22,8236,0,9149,47,0,9098,4
10023,32247,0.4006,12918,182,0.014088868,186,12550,0,19329,0,0,19273,56
10024,28943,0.3545,10259,175,0.017058193,300,9784,0,18684,26,25,18565,68
10025,43607,0.2254,9829,148,0.015057483,198,9483,0,33778,127,21,33224,406
10026,14481,0.1873,2712,45,0.01659292,135,2532,0,11769,94,19,11656,0
10027,22965,0.1361,3125,166,0.05312,263,2696,0,19840,31,59,19721,29
10028,24848,0.3138,7798,251,0.03218774,154,7382,11,17050,113,17,16908,12
10029,29198,0.0591,1725,15,0.008695652,7,1675,28,27473,106,43,27260,64
10030,12008,0.1057,1269,104,0.081954295,286,879,0,10739,0,40,10649,50
10031,20969,0.1007,2111,60,0.028422549,281,1770,0,18858,110,102,18611,35
10032,19821,0.0731,1448,57,0.039364641,45,1346,0,18373,62,8,18195,108
10033,19595,0.1049,2055,65,0.03163017,6,1984,0,17540,120,16,17389,15
10034,15252,0.0898,1370,17,0.012408759,19,1334,0,13882,57,40,13785,0
10035,13129,0.0820,1076,58,0.053903346,61,957,0,12053,74,8,11855,116
10036,14534,0.1027,1492,24,0.016085791,15,1430,23,13042,27,5,13010,0
10037,9040,0.0812,734,0,0,51,675,8,8306,38,16,8215,37
10038,9578,0.2513,2407,90,0.037390943,0,2312,5,7171,0,51,7113,7
10039,10367,0.1392,1443,32,0.022176022,28,1383,0,8924,25,61,8812,26
10040,15887,0.1005,1597,37,0.023168441,10,1550,0,14290,44,0,14194,52
10044,4712,0.1114,525,21,0.04,0,504,0,4187,9,23,4144,11
10065,17396,0.3121,5430,179,0.032965009,159,5092,0,11966,78,57,11831,0
10069,2820,0.2390,674,12,0.017804154,0,662,0,2146,0,0,2146,0
10075,13567,0.4397,5966,229,0.038384177,60,5617,60,7601,17,17,7567,0
10128,31919,0.3007,9598,61,0.006355491,296,9221,20,22321,57,64,22200,0
10162,660,0.0000,0,0,0,0,0,0,660,11,0,649,0
10280,4320,0.2488,1075,0,0,7,1043,25,3245,62,0,3183,0
10282,2534,0.0655,166,0,0,0,166,0,2368,0,0,2368,0
10301,14093,0.4372,6162,3276,0.53164557,905,1951,30,7931,356,207,7346,22
10302,5996,0.5767,3458,2107,0.609311741,493,847,11,2538,257,305,1970,6
10303,8062,0.6085,4906,1831,0.37321647,1855,1109,111,3156,264,336,2525,31
10304,14475,0.5288,7654,4213,0.550431147,2000,1438,3,6821,407,387,6020,7
10305,14884,0.6617,9849,3555,0.36095035,3841,2428,25,5035,520,540,3965,10
10306,20241,0.7186,14546,7237,0.497525093,4815,2494,0,5695,749,506,4440,0
10307,4953,0.8094,4009,2595,0.647293589,583,831,0,944,209,133,597,5
10308,10708,0.8208,8789,3750,0.426669701,3258,1750,31,1919,181,295,1429,14
10309,11100,0.7800,8658,3234,0.373527374,3415,1996,13,2442,473,629,1340,0
10310,8387,0.5991,5025,3163,0.629452736,915,942,5,3362,274,402,2649,37
10312,21208,0.8361,17732,7435,0.419298443,7152,3116,29,3476,580,656,2240,0
10314,30972,0.7331,22705,9203,0.405329223,8187,5244,71,8267,1067,1348,5846,6
10451,17862,0.1305,2331,31,0.013299013,0,2300,0,15531,75,72,15297,87
10452,25008,0.0286,716,172,0.240223464,38,506,0,24292,152,90,23998,52
10453,26059,0.0372,970,227,0.234020619,89,647,7,25089,334,150,24545,60
10454,12483,0.0515,643,70,0.108864697,271,302,0,11840,221,149,11470,0
10455,13690,0.0850,1164,115,0.098797251,343,706,0,12526,110,148,12215,53
10456,29156,0.0607,1770,191,0.107909605,336,1243,0,27386,91,179,27094,22
10457,22819,0.0622,1419,175,0.123326286,368,861,15,21400,234,163,20911,92
10458,25863,0.0429,1109,194,0.174932372,61,854,0,24754,178,134,24363,79
10459,15427,0.0874,1349,140,0.103780578,371,838,0,14078,214,292,13537,35
10460,19534,0.0875,1709,352,0.205968403,102,1239,16,17825,294,189,17332,10
